Created as New Dataset,Sample 001 By IIST Date Wednesday, June 23 2021
cm-1,%T
2527.00,100.30
2526.00,100.29
2525.00,100.29
2524.00,100.29
2523.00,100.29
2522.00,100.29
2521.00,100.27
2520.00,100.24
2519.00,100.22
2518.00,100.21
2517.00,100.21
2516.00,100.20
2515.00,100.20
2514.00,100.19
2513.00,100.17
2512.00,100.15
2511.00,100.14
2510.00,100.14
2509.00,100.13
2508.00,100.11
2507.00,100.08
2506.00,100.06
2505.00,100.05
2504.00,100.06
2503.00,100.08
2502.00,100.09
2501.00,100.10
2500.00,100.10
2499.00,100.09
2498.00,100.07
2497.00,100.06
2496.00,100.04
2495.00,100.02
2494.00,100.00
2493.00,99.98
2492.00,99.98
2491.00,99.99
2490.00,100.00
2489.00,100.01
2488.00,100.03
2487.00,100.06
2486.00,100.09
2485.00,100.12
2484.00,100.13
2483.00,100.12
2482.00,100.12
2481.00,100.11
2480.00,100.12
2479.00,100.14
2478.00,100.14
2477.00,100.14
2476.00,100.13
2475.00,100.13
2474.00,100.15
2473.00,100.17
2472.00,100.19
2471.00,100.21
2470.00,100.24
2469.00,100.26
